system,premise_framing,threshold,macro_f1,accuracy,n_low_confidence_downgrades,n_items,production_threshold,source_artifact
baseline,bare,0.5,0.7487050297622986,0.7333333333333333,2,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.55,0.7508148246478322,0.7357142857142858,3,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.6,0.7508148246478322,0.7357142857142858,5,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.65,0.7508148246478322,0.7357142857142858,7,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.7,0.7486646586649771,0.7333333333333333,14,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.75,0.7486646586649771,0.7333333333333333,17,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.8,0.7463867718881274,0.7309523809523809,22,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.85,0.7419422655659534,0.7261904761904762,29,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.9,0.7445941765261668,0.7285714285714285,40,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
baseline,bare,0.95,0.7379104911988964,0.7214285714285714,60,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.5,0.9652446263640666,0.9666666666666667,1,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.55,0.9652446263640666,0.9666666666666667,2,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.6,0.9665220923157877,0.969047619047619,7,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.65,0.9683612674297156,0.9714285714285714,11,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.7,0.9683612674297156,0.9714285714285714,12,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.75,0.9683612674297156,0.9714285714285714,13,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.8,0.96258364183368,0.9666666666666667,17,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.85,0.9596164041472943,0.9642857142857143,26,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.9,0.9476070094366884,0.9547619047619048,34,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
modified,labeled,0.95,0.9417195611349425,0.9476190476190476,56,420,0.7,research/prototype/outputs/threshold_sensitivity_analysis.json
