dataset,verdict,count,n_total,fresh_or_historical,source
588_claim_aggregate,NOT_ENOUGH_INFORMATION,364,588,FRESH,step6/588_claims/claims_588_metrics.json
588_claim_aggregate,NO_EVIDENCE,198,588,FRESH,step6/588_claims/claims_588_metrics.json
588_claim_aggregate,ENTAILED,21,588,FRESH,step6/588_claims/claims_588_metrics.json
588_claim_aggregate,CONTRADICTED,5,588,FRESH,step6/588_claims/claims_588_metrics.json
209_paired_ArmA_fresh,NOT_ENOUGH_INFORMATION,117,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmA_fresh,NO_EVIDENCE,77,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmA_fresh,ENTAILED,13,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmA_fresh,CONTRADICTED,2,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmB_fresh,NOT_ENOUGH_INFORMATION,131,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmB_fresh,NO_EVIDENCE,62,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmB_fresh,ENTAILED,13,209,FRESH,step6/209_paired/paired_209_metrics.json
209_paired_ArmB_fresh,CONTRADICTED,3,209,FRESH,step6/209_paired/paired_209_metrics.json
n30_mode_B,NOT_ENOUGH_INFORMATION,38,88,HISTORICAL,step6/batches/batches_analysis.json
n30_mode_B,NO_EVIDENCE,50,88,HISTORICAL,step6/batches/batches_analysis.json
targeted_mode_B,NOT_ENOUGH_INFORMATION,14,29,HISTORICAL,step6/batches/batches_analysis.json
targeted_mode_B,NO_EVIDENCE,15,29,HISTORICAL,step6/batches/batches_analysis.json
batch1_bare,NO_EVIDENCE,83,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_bare,NOT_ENOUGH_INFORMATION,167,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_bare,CONTRADICTED,1,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_labeled,NO_EVIDENCE,83,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_labeled,NOT_ENOUGH_INFORMATION,161,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_labeled,ENTAILED,5,251,HISTORICAL,step6/batches/batches_analysis.json
batch1_labeled,CONTRADICTED,2,251,HISTORICAL,step6/batches/batches_analysis.json
batch2_bare,NO_EVIDENCE,120,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_bare,NOT_ENOUGH_INFORMATION,113,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_bare,ENTAILED,2,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_bare,CONTRADICTED,1,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_labeled,NO_EVIDENCE,120,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_labeled,NOT_ENOUGH_INFORMATION,102,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_labeled,CONTRADICTED,3,236,HISTORICAL,step6/batches/batches_analysis.json
batch2_labeled,ENTAILED,11,236,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_A,NOT_ENOUGH_INFORMATION,129,209,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_A,NO_EVIDENCE,77,209,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_A,CONTRADICTED,3,209,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_B,NOT_ENOUGH_INFORMATION,144,209,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_B,NO_EVIDENCE,62,209,HISTORICAL,step6/batches/batches_analysis.json
final_validation_arm_B,CONTRADICTED,3,209,HISTORICAL,step6/batches/batches_analysis.json
