framing,threshold,accuracy,macro_f1,n_low_confidence_downgrades
bare,0.5,0.7333333333333333,0.7487050297622986,2
bare,0.55,0.7357142857142858,0.7508148246478322,3
bare,0.6,0.7357142857142858,0.7508148246478322,5
bare,0.65,0.7357142857142858,0.7508148246478322,7
bare,0.7,0.7333333333333333,0.7486646586649771,14
bare,0.75,0.7333333333333333,0.7486646586649771,17
bare,0.8,0.7309523809523809,0.7463867718881274,22
bare,0.85,0.7261904761904762,0.7419422655659534,29
bare,0.9,0.7285714285714285,0.7445941765261668,40
bare,0.95,0.7214285714285714,0.7379104911988964,60
labeled,0.5,0.9666666666666667,0.9652446263640666,1
labeled,0.55,0.9666666666666667,0.9652446263640666,2
labeled,0.6,0.969047619047619,0.9665220923157877,7
labeled,0.65,0.9714285714285714,0.9683612674297156,11
labeled,0.7,0.9714285714285714,0.9683612674297156,12
labeled,0.75,0.9714285714285714,0.9683612674297156,13
labeled,0.8,0.9666666666666667,0.96258364183368,17
labeled,0.85,0.9642857142857143,0.9596164041472943,26
labeled,0.9,0.9547619047619048,0.9476070094366884,34
labeled,0.95,0.9476190476190476,0.9417195611349425,56
